archivo_original,nueva_ubicacion,categoria,funciones_detectadas,triggers_detectados,tablas_creadas,tablas_alteradas
bd.sql,database/schema/bd.sql,schema,,,roles; planes; sucursales; categorias; marcas; usuarios; direcciones_usuario; productos; producto_multimedia; inventario_sucursal; producto_proveedor; solicitudes_reabastecimiento; cotizaciones_proveedores; pedidos; detalle_pedidos; productos_vistos; page_sections; banners_promocionales; tracking_logs; reportes_pedidos; devoluciones,devoluciones; usuarios
fix_reabastecimiento_duplicadas.sql,database/hotfixes/fix_reabastecimiento_duplicadas.sql,hotfixes,,,,
hotfix_notificaciones_descuento_wishlist.sql,database/hotfixes/hotfix_notificaciones_descuento_wishlist.sql,hotfixes,,,,notificaciones; productos
hotfix_notificaciones_wishlist_php_final.sql,database/hotfixes/hotfix_notificaciones_wishlist_php_final.sql,hotfixes,,,,notificaciones; productos
hotfix_notificaciones_wishlist_trigger.sql,database/hotfixes/hotfix_notificaciones_wishlist_trigger.sql,hotfixes,emx_pct_descuento; emx_fmt_pct; emx_notificar_wishlist_producto_update,trg_emx_wishlist_producto_update,,notificaciones; productos
migracion_busqueda_inteligente.sql,database/migrations/migracion_busqueda_inteligente.sql,migrations,,,,
migracion_descuentos_volumen_funcionales.sql,database/migrations/migracion_descuentos_volumen_funcionales.sql,migrations,,,,capacidad_proveedor; productos
migracion_devoluciones_decision_cliente.sql,database/migrations/migracion_devoluciones_decision_cliente.sql,migrations,,,,devoluciones
migracion_devoluciones_estimacion_reemplazo_prime.sql,database/migrations/migracion_devoluciones_estimacion_reemplazo_prime.sql,migrations,,,,pedidos
migracion_devoluciones_flujo_secuencial_fraude.sql,database/migrations/migracion_devoluciones_flujo_secuencial_fraude.sql,migrations,,,,devoluciones
migracion_email_outbox_panel.sql,database/migrations/migracion_email_outbox_panel.sql,migrations,,,email_outbox,
migracion_empresa_config_admin.sql,database/migrations/migracion_empresa_config_admin.sql,migrations,,,empresa_config,empresa_config
migracion_empresa_simplificada_admin.sql,database/migrations/migracion_empresa_simplificada_admin.sql,migrations,,,empresa_config,empresa_config
migracion_facturacion_garantias_checkout.sql,database/migrations/migracion_facturacion_garantias_checkout.sql,migrations,,,empresa_config; datos_facturacion_usuario; facturas; factura_detalles; notas_credito; email_outbox; producto_garantias; garantia_casos,detalle_pedidos; devoluciones; empresa_config; pedidos
migracion_final_correo_facturacion.sql,database/migrations/migracion_final_correo_facturacion.sql,migrations,,,empresa_config; datos_facturacion_usuario; facturas; factura_detalles; notas_credito; email_outbox; producto_garantias; garantia_casos; empresa_config; email_outbox,detalle_pedidos; devoluciones; empresa_config; pedidos
migracion_flujo_guiado.sql,database/migrations/migracion_flujo_guiado.sql,migrations,,,reclamos_proveedor; reclamos_courier,detalle_pedidos; devoluciones; pedidos
migracion_google_login.sql,database/migrations/migracion_google_login.sql,migrations,,,usuarios_auth_eventos,usuarios
migracion_nota_credito_correo_auto.sql,database/migrations/migracion_nota_credito_correo_auto.sql,migrations,,,email_outbox,notas_credito
migracion_notificaciones_wishlist_mejoradas.sql,database/migrations/migracion_notificaciones_wishlist_mejoradas.sql,migrations,,,,productos
migracion_reemplazo_series_trazabilidad.sql,database/migrations/migracion_reemplazo_series_trazabilidad.sql,migrations,,,,detalle_pedidos; devoluciones
migracion_reformulacion_segura.sql,database/migrations/migracion_reformulacion_segura.sql,migrations,,,reclamos_courier; capacidad_proveedor; propuestas_proveedor; pedidos_backorder; cronogramas_reabastecimiento,detalle_pedidos; devoluciones; pedidos; productos; solicitudes_reabastecimiento
migracion_soporte_tickets.sql,database/migrations/migracion_soporte_tickets.sql,migrations,soporte_touch_updated_at,trg_soporte_tickets_updated_at,soporte_tickets; soporte_mensajes,
