ruta,extension,tamano_kb,lineas
.env.example,.example,0.57,20
.gitignore,[sin extension],0.16,14
.htaccess,[sin extension],1.0,26
AUDITORIA_SEGURIDAD_RUTAS.md,.md,3.39,94
README_AJUSTE_FICHA_CARRITO_LIMPIEZA.md,.md,2.33,58
README_AJUSTE_FINAL.md,.md,2.88,54
README_AJUSTE_FINAL_CARRITO_FICHA.md,.md,1.86,42
README_AJUSTE_LOGO_FICHAS.md,.md,1.62,37
README_AJUSTE_PREMIUM_FICHA_CARRITO.md,.md,1.23,28
README_ANALITICA_POWERBI_LIMPIEZA_EMOJIS.md,.md,1.35,18
README_ANALITICA_REAL_ICONOS_RESTAURADOS.md,.md,0.76,11
README_BACKORDER_RESERVA_REORDEN.md,.md,1.88,49
README_BUSQUEDA_INTELIGENTE_AUTOCOMPLETE.md,.md,0.94,36
README_CALENDARIO_SOBRESTOCK.md,.md,1.28,37
README_CARRITO_CALENDARIO_ORDENADO.md,.md,1.24,28
README_CENTRO_SOPORTE_SIMPLE.md,.md,0.89,59
README_CORREO_EMPRESA_LISTO.md,.md,2.75,112
README_CORREO_FUNCIONAL_SEGURO.md,.md,0.97,44
README_DESCUENTOS_VOLUMEN_FUNCIONALES.md,.md,1.61,51
README_DEVOLUCIONES_COSTOS_FLUJOS_DISTINTOS.md,.md,1.56,39
README_DEVOLUCIONES_DECISION_CLIENTE.md,.md,0.95,33
README_DEVOLUCIONES_ESTIMACION_REEMPLAZO_PRIME.md,.md,1.02,25
README_DEVOLUCIONES_FLUJO_SECUENCIAL_FRAUDE.md,.md,1.23,45
README_DEVOLUCIONES_MOTIVOS_CUBIERTOS.md,.md,1.17,28
README_DISENO_FACTURA_APROBADO.md,.md,0.67,17
README_EMPRESA_ADMIN_SIMPLIFICADA.md,.md,1.64,50
README_FACTURACION_GARANTIAS_CHECKOUT.md,.md,3.13,107
README_FACTURA_PDF_DISENO_EXACTO.md,.md,0.76,17
README_FINAL_CORREO_FACTURACION.md,.md,2.65,95
README_FIX_ADMIN_CRUD_PRODUCTOS.md,.md,1.43,46
README_FIX_CHECKOUT_FACTURA_CORREO.md,.md,2.63,109
README_FIX_CHECKOUT_PRODUCTO_ID_BOOLEAN.md,.md,0.88,22
README_FIX_CUENTA_NAV_LOGIN_FOOTER.md,.md,0.95,18
README_FIX_GOOGLE_CLIENT_ID_VISIBLE.md,.md,0.69,20
README_FIX_ICONOS_CATEGORIAS.md,.md,0.55,17
README_FIX_LLEGO_DANADO_FLUJO_CONECTADO.md,.md,1.31,32
README_FIX_LOGO_NAVBAR_CONTRASTE.md,.md,0.44,12
README_FIX_REABASTECIMIENTO_DUPLICADAS.md,.md,1.07,27
README_FLUJO_GUIADO.md,.md,2.12,82
README_GOOGLE_CLIENT_ID_CONFIGURADO.md,.md,0.42,19
README_GOOGLE_LOGIN_VINCULACION.md,.md,1.2,29
README_HOME_BANNERS_RECOMENDADOS.md,.md,1.32,29
README_HOTFIX_FUNCION_REABASTECIMIENTO.md,.md,0.72,19
README_HOTFIX_NOTIFICACIONES_DESCUENTO_WISHLIST.md,.md,1.28,36
README_HOTFIX_NOTIFICACIONES_WISHLIST_PHP_FINAL.md,.md,0.85,25
README_HOTFIX_TRIGGER_NOTIFICACIONES_WISHLIST.md,.md,0.94,32
README_INSTALAR_PHPMAILER.md,.md,1.37,79
README_LOGIN_REDISHENO_LOGO_CLARO.md,.md,0.58,14
README_MODALES_DEVOLUCIONES_FLUJO_FINAL.md,.md,2.48,66
README_MULTIPLES_IMAGENES_PRODUCTO.md,.md,1.07,33
README_NAVBAR_FOOTER_GLOBAL.md,.md,0.86,43
