ruta_antigua,tipo,destino_interno
add_to_cart.php,accion_raiz_compatible,
admin.php,controlador_con_vista_separada,views/admin/admin_view.php
analitica.php,ruta_raiz_compatible,
api_filtrar_productos.php,endpoint_api_raiz,
api_filtros.php,endpoint_api_raiz,
api_guardar_producto.php,endpoint_api_raiz,
api_producto.php,endpoint_api_raiz,
api_wishlist.php,endpoint_api_raiz,
auth.php,controlador_con_vista_separada,views/auth/auth_view.php
banner_redirect.php,accion_raiz_compatible,
buscar_sugerencias.php,endpoint_api_raiz,
cancelar_membresia.php,accion_raiz_compatible,
carrito.php,controlador_con_vista_separada,views/frontend/carrito_view.php
checkout.php,controlador_con_vista_separada,views/frontend/checkout_view.php
config_correo.example.php,adaptador_php,app/Config/mail.example.php
config_correo.php,adaptador_php,app/Config/mail.php
config_google.php,adaptador_php,app/Config/google.php
correos_empresa.php,controlador_con_vista_separada,views/admin/correos_empresa_view.php
crear_admin.php,ruta_raiz_compatible,
crear_usuario_empresa.php,ruta_raiz_compatible,
db.php,adaptador_php,app/Config/database.php
empresa_config.php,adaptador_php,app/Config/company.php
factura_pdf.php,accion_raiz_compatible,
ficha_tecnica.php,ruta_raiz_compatible,
ficha_tecnica_pdf.php,accion_raiz_compatible,
flujo_admin.php,ruta_raiz_compatible,
funciones_automatizacion.php,adaptador_php,app/Helpers/funciones_automatizacion.php
funciones_auxiliares.php,adaptador_php,app/Helpers/funciones_auxiliares.php
funciones_backorder.php,adaptador_php,app/Helpers/funciones_backorder.php
funciones_descuentos_volumen.php,adaptador_php,app/Helpers/funciones_descuentos_volumen.php
funciones_facturacion.php,adaptador_php,app/Helpers/funciones_facturacion.php
funciones_ficha_tecnica.php,adaptador_php,app/Helpers/funciones_ficha_tecnica.php
funciones_garantias.php,adaptador_php,app/Helpers/funciones_garantias.php
funciones_google_auth.php,adaptador_php,app/Helpers/funciones_google_auth.php
funciones_home.php,adaptador_php,app/Helpers/funciones_home.php
funciones_logistica.php,adaptador_php,app/Helpers/funciones_logistica.php
funciones_notificaciones.php,adaptador_php,app/Helpers/funciones_notificaciones.php
funciones_planes.php,adaptador_php,app/Helpers/funciones_planes.php
funciones_soporte.php,adaptador_php,app/Helpers/funciones_soporte.php
funciones_stock.php,adaptador_php,app/Helpers/funciones_stock.php
funciones_wishlist.php,adaptador_php,app/Helpers/funciones_wishlist.php
garantia.php,controlador_con_vista_separada,views/frontend/garantia_view.php
generar_etiqueta.php,accion_raiz_compatible,
google_auth.php,accion_raiz_compatible,
imprimir_guia.php,accion_raiz_compatible,
index.php,controlador_con_vista_separada,views/frontend/index_view.php
logout.php,accion_raiz_compatible,
mi_cuenta.php,controlador_con_vista_separada,views/frontend/mi_cuenta_view.php
notificaciones.php,controlador_con_vista_separada,views/frontend/notificaciones_view.php
planes.php,controlador_con_vista_separada,views/frontend/planes_view.php
probar_correo_facturacion.php,ruta_raiz_compatible,
procesar_devolucion.php,accion_raiz_compatible,
producto.php,controlador_con_vista_separada,views/frontend/producto_view.php
proveedor.php,controlador_con_vista_separada,views/proveedor/proveedor_view.php
recibir_devolucion.php,accion_raiz_compatible,
responder_devolucion.php,accion_raiz_compatible,
seguridad.php,adaptador_php,app/Middleware/security.php
simulador_sucursales.php,ruta_raiz_compatible,
soporte.php,controlador_con_vista_separada,views/frontend/soporte_view.php
soporte_admin.php,controlador_con_vista_separada,views/admin/soporte_admin_view.php
tracking.php,controlador_con_vista_separada,views/frontend/tracking_view.php
verificar_phpmailer.php,ruta_raiz_compatible,
wishlist.php,controlador_con_vista_separada,views/frontend/wishlist_view.php
components/footer.php,adaptador_componente,views/components/footer.php
components/navbar.php,adaptador_componente,views/components/navbar.php
