archivo_original,nueva_ubicacion,motivo
README_AJUSTE_FICHA_CARRITO_LIMPIEZA.md,docs/historial/readmes_raiz/README_AJUSTE_FICHA_CARRITO_LIMPIEZA.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_AJUSTE_FINAL.md,docs/historial/readmes_raiz/README_AJUSTE_FINAL.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_AJUSTE_FINAL_CARRITO_FICHA.md,docs/historial/readmes_raiz/README_AJUSTE_FINAL_CARRITO_FICHA.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_AJUSTE_LOGO_FICHAS.md,docs/historial/readmes_raiz/README_AJUSTE_LOGO_FICHAS.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_AJUSTE_PREMIUM_FICHA_CARRITO.md,docs/historial/readmes_raiz/README_AJUSTE_PREMIUM_FICHA_CARRITO.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_ANALITICA_POWERBI_LIMPIEZA_EMOJIS.md,docs/historial/readmes_raiz/README_ANALITICA_POWERBI_LIMPIEZA_EMOJIS.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_ANALITICA_REAL_ICONOS_RESTAURADOS.md,docs/historial/readmes_raiz/README_ANALITICA_REAL_ICONOS_RESTAURADOS.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_BACKORDER_RESERVA_REORDEN.md,docs/historial/readmes_raiz/README_BACKORDER_RESERVA_REORDEN.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_BUSQUEDA_INTELIGENTE_AUTOCOMPLETE.md,docs/historial/readmes_raiz/README_BUSQUEDA_INTELIGENTE_AUTOCOMPLETE.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_CALENDARIO_SOBRESTOCK.md,docs/historial/readmes_raiz/README_CALENDARIO_SOBRESTOCK.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_CARRITO_CALENDARIO_ORDENADO.md,docs/historial/readmes_raiz/README_CARRITO_CALENDARIO_ORDENADO.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_CENTRO_SOPORTE_SIMPLE.md,docs/historial/readmes_raiz/README_CENTRO_SOPORTE_SIMPLE.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_CORREO_EMPRESA_LISTO.md,docs/historial/readmes_raiz/README_CORREO_EMPRESA_LISTO.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_CORREO_FUNCIONAL_SEGURO.md,docs/historial/readmes_raiz/README_CORREO_FUNCIONAL_SEGURO.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_DESCUENTOS_VOLUMEN_FUNCIONALES.md,docs/historial/readmes_raiz/README_DESCUENTOS_VOLUMEN_FUNCIONALES.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_DEVOLUCIONES_COSTOS_FLUJOS_DISTINTOS.md,docs/historial/readmes_raiz/README_DEVOLUCIONES_COSTOS_FLUJOS_DISTINTOS.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_DEVOLUCIONES_DECISION_CLIENTE.md,docs/historial/readmes_raiz/README_DEVOLUCIONES_DECISION_CLIENTE.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_DEVOLUCIONES_ESTIMACION_REEMPLAZO_PRIME.md,docs/historial/readmes_raiz/README_DEVOLUCIONES_ESTIMACION_REEMPLAZO_PRIME.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_DEVOLUCIONES_FLUJO_SECUENCIAL_FRAUDE.md,docs/historial/readmes_raiz/README_DEVOLUCIONES_FLUJO_SECUENCIAL_FRAUDE.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_DEVOLUCIONES_MOTIVOS_CUBIERTOS.md,docs/historial/readmes_raiz/README_DEVOLUCIONES_MOTIVOS_CUBIERTOS.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_DISENO_FACTURA_APROBADO.md,docs/historial/readmes_raiz/README_DISENO_FACTURA_APROBADO.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_EMPRESA_ADMIN_SIMPLIFICADA.md,docs/historial/readmes_raiz/README_EMPRESA_ADMIN_SIMPLIFICADA.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_FACTURACION_GARANTIAS_CHECKOUT.md,docs/historial/readmes_raiz/README_FACTURACION_GARANTIAS_CHECKOUT.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_FACTURA_PDF_DISENO_EXACTO.md,docs/historial/readmes_raiz/README_FACTURA_PDF_DISENO_EXACTO.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_FASE1_MAPA_DEPENDENCIAS.md,docs/historial/readmes_raiz/README_FASE1_MAPA_DEPENDENCIAS.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_FASE2_ESTRUCTURA_NUEVA.md,docs/historial/readmes_raiz/README_FASE2_ESTRUCTURA_NUEVA.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_FASE3_CONFIG_SEGURIDAD_HELPERS.md,docs/historial/readmes_raiz/README_FASE3_CONFIG_SEGURIDAD_HELPERS.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_FASE4_LOGICA_NEGOCIO_COMENTADA.md,docs/historial/readmes_raiz/README_FASE4_LOGICA_NEGOCIO_COMENTADA.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_FASE5_VISTAS_SEPARADAS.md,docs/historial/readmes_raiz/README_FASE5_VISTAS_SEPARADAS.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_FASE6_SQL_ORGANIZADO.md,docs/historial/readmes_raiz/README_FASE6_SQL_ORGANIZADO.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_FASE7_ADAPTADORES_RUTAS.md,docs/historial/readmes_raiz/README_FASE7_ADAPTADORES_RUTAS.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_FINAL_CORREO_FACTURACION.md,docs/historial/readmes_raiz/README_FINAL_CORREO_FACTURACION.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_FIX_ADMIN_CRUD_PRODUCTOS.md,docs/historial/readmes_raiz/README_FIX_ADMIN_CRUD_PRODUCTOS.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_FIX_CHECKOUT_FACTURA_CORREO.md,docs/historial/readmes_raiz/README_FIX_CHECKOUT_FACTURA_CORREO.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_FIX_CHECKOUT_PRODUCTO_ID_BOOLEAN.md,docs/historial/readmes_raiz/README_FIX_CHECKOUT_PRODUCTO_ID_BOOLEAN.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_FIX_CUENTA_NAV_LOGIN_FOOTER.md,docs/historial/readmes_raiz/README_FIX_CUENTA_NAV_LOGIN_FOOTER.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_FIX_GOOGLE_CLIENT_ID_VISIBLE.md,docs/historial/readmes_raiz/README_FIX_GOOGLE_CLIENT_ID_VISIBLE.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_FIX_ICONOS_CATEGORIAS.md,docs/historial/readmes_raiz/README_FIX_ICONOS_CATEGORIAS.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_FIX_LLEGO_DANADO_FLUJO_CONECTADO.md,docs/historial/readmes_raiz/README_FIX_LLEGO_DANADO_FLUJO_CONECTADO.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_FIX_LOGO_NAVBAR_CONTRASTE.md,docs/historial/readmes_raiz/README_FIX_LOGO_NAVBAR_CONTRASTE.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_FIX_REABASTECIMIENTO_DUPLICADAS.md,docs/historial/readmes_raiz/README_FIX_REABASTECIMIENTO_DUPLICADAS.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_FLUJO_GUIADO.md,docs/historial/readmes_raiz/README_FLUJO_GUIADO.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_GOOGLE_CLIENT_ID_CONFIGURADO.md,docs/historial/readmes_raiz/README_GOOGLE_CLIENT_ID_CONFIGURADO.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_GOOGLE_LOGIN_VINCULACION.md,docs/historial/readmes_raiz/README_GOOGLE_LOGIN_VINCULACION.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_HOME_BANNERS_RECOMENDADOS.md,docs/historial/readmes_raiz/README_HOME_BANNERS_RECOMENDADOS.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_HOTFIX_FUNCION_REABASTECIMIENTO.md,docs/historial/readmes_raiz/README_HOTFIX_FUNCION_REABASTECIMIENTO.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_HOTFIX_NOTIFICACIONES_DESCUENTO_WISHLIST.md,docs/historial/readmes_raiz/README_HOTFIX_NOTIFICACIONES_DESCUENTO_WISHLIST.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_HOTFIX_NOTIFICACIONES_WISHLIST_PHP_FINAL.md,docs/historial/readmes_raiz/README_HOTFIX_NOTIFICACIONES_WISHLIST_PHP_FINAL.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_HOTFIX_TRIGGER_NOTIFICACIONES_WISHLIST.md,docs/historial/readmes_raiz/README_HOTFIX_TRIGGER_NOTIFICACIONES_WISHLIST.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_INSTALAR_PHPMAILER.md,docs/historial/readmes_raiz/README_INSTALAR_PHPMAILER.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_LOGIN_REDISHENO_LOGO_CLARO.md,docs/historial/readmes_raiz/README_LOGIN_REDISHENO_LOGO_CLARO.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_MODALES_DEVOLUCIONES_FLUJO_FINAL.md,docs/historial/readmes_raiz/README_MODALES_DEVOLUCIONES_FLUJO_FINAL.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_MULTIPLES_IMAGENES_PRODUCTO.md,docs/historial/readmes_raiz/README_MULTIPLES_IMAGENES_PRODUCTO.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_NAVBAR_FOOTER_GLOBAL.md,docs/historial/readmes_raiz/README_NAVBAR_FOOTER_GLOBAL.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_NAVBAR_FOOTER_PRODUCTO_REAL.md,docs/historial/readmes_raiz/README_NAVBAR_FOOTER_PRODUCTO_REAL.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_NAVBAR_PRODUCTO_UNIFICADO.md,docs/historial/readmes_raiz/README_NAVBAR_PRODUCTO_UNIFICADO.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_NAV_NOTIS_OFERTAS_FIX.md,docs/historial/readmes_raiz/README_NAV_NOTIS_OFERTAS_FIX.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_NOTA_CREDITO_CORREO_AUTO.md,docs/historial/readmes_raiz/README_NOTA_CREDITO_CORREO_AUTO.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_PANEL_EMPRESA_FACTURACION.md,docs/historial/readmes_raiz/README_PANEL_EMPRESA_FACTURACION.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_PARCHE_ERRORES_BACKORDER.md,docs/historial/readmes_raiz/README_PARCHE_ERRORES_BACKORDER.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_PROVEEDOR_EDITAR_CAPACIDAD.md,docs/historial/readmes_raiz/README_PROVEEDOR_EDITAR_CAPACIDAD.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_RECHAZO_ESTIMACION_FINAL.md,docs/historial/readmes_raiz/README_RECHAZO_ESTIMACION_FINAL.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_REEMPLAZO_SERIES_TRAZABILIDAD.md,docs/historial/readmes_raiz/README_REEMPLAZO_SERIES_TRAZABILIDAD.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_REFORMULACION_SEGURA.md,docs/historial/readmes_raiz/README_REFORMULACION_SEGURA.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
README_UPLOADS_ORDENADOS.md,docs/historial/readmes_raiz/README_UPLOADS_ORDENADOS.md,Documento histórico en raíz. Se mueve para limpiar el directorio principal.
AUDITORIA_SEGURIDAD_RUTAS.md,docs/auditorias/AUDITORIA_SEGURIDAD_RUTAS.md,Auditoría técnica movida a carpeta de auditorías.
